File,Alias,Question,Answer,Confidence
sample_nocs/0000000354.PDF,directorate,What is the directorate that approved the submission?,Direction générale des produits de santé et des aliments,45
sample_nocs/0000000354.PDF,noc_reason,What was the reason for the submission?,ZEMPLAR,58.999996185302734
sample_nocs/0000000354.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000354.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000354.PDF,submission_no,What is the Submission Number?,087818,93
sample_nocs/0000000354.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000354.PDF,product_name,What is the Product name?,ZEMPLAR,82
sample_nocs/0000000354.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",ZEMPLAR,35
sample_nocs/0000000354.PDF,species,What is the species?,ZEMPLAR,96
sample_nocs/0000000354.PDF,noc_date,What is the date of the document?,2005/11/18,99
sample_nocs/0000000354.PDF,medicinal_ingredients,What are the medicinal ingredients?,"Paricalcitol, 5 mcg/mL, solution",81
sample_nocs/0000000357.PDF,canadian_reference_product,What is the Canadian Reference Product?,ZEMPLAR,91
sample_nocs/0000000357.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000357.PDF,noc_reason,What was the reason for the submission?,drug sponsor,46
sample_nocs/0000000357.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000357.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000357.PDF,submission_no,What is the Submission Number?,087818,99
sample_nocs/0000000357.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000357.PDF,product_name,What is the Product name?,ZEMPLAR*,57
sample_nocs/0000000357.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",ZEMPLAR*,33
sample_nocs/0000000357.PDF,species,What is the species?,NA,NA
sample_nocs/0000000357.PDF,noc_date,What is the date of the document?,"March 31, 2005",94
sample_nocs/0000000357.PDF,medicinal_ingredients,What are the medicinal ingredients?,"Paricalcitol, ZEMPLAR",24
sample_nocs/0000000644.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000000644.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000644.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000000644.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000644.PDF,dossier_id,What is the Dossier Id?,088659,94
sample_nocs/0000000644.PDF,submission_no,What is the Submission Number?,088659,97
sample_nocs/0000000644.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000644.PDF,product_name,What is the Product name?,XYREMMD,98
sample_nocs/0000000644.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",NA,NA
sample_nocs/0000000644.PDF,species,What is the species?,NA,NA
sample_nocs/0000000644.PDF,noc_date,What is the date of the document?,5 août 2005,73
sample_nocs/0000000644.PDF,medicinal_ingredients,What are the medicinal ingredients?,"Oxybate de sodium 500 mg/mL, solution orale",43
sample_nocs/0000000722.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000000722.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000722.PDF,noc_reason,What was the reason for the submission?,submitted data from quality (chemistry and manufacturing) studies,35
sample_nocs/0000000722.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000722.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000722.PDF,submission_no,What is the Submission Number?,NA,NA
sample_nocs/0000000722.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000722.PDF,product_name,What is the Product name?,PFOSRENOL,31
sample_nocs/0000000722.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","250 mg, 500 mg, 750 mg, 1000 mg",27.000001907348633
sample_nocs/0000000722.PDF,species,What is the species?,NA,NA
sample_nocs/0000000722.PDF,noc_date,What is the date of the document?,"February 19, 2007",97
sample_nocs/0000000722.PDF,medicinal_ingredients,What are the medicinal ingredients?,"lanthanum carbonate hydrate, lanthanum carbonate hydrate",21
sample_nocs/0000000821.PDF,canadian_reference_product,What is the Canadian Reference Product?,SATIVEX,33
sample_nocs/0000000821.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000821.PDF,noc_reason,What was the reason for the submission?,supplément a la présentation de drogue nouvelle,38
sample_nocs/0000000821.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000821.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000821.PDF,submission_no,What is the Submission Number?,NA,NA
sample_nocs/0000000821.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000821.PDF,product_name,What is the Product name?,SATIVEX®,33
sample_nocs/0000000821.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",NA,NA
sample_nocs/0000000821.PDF,species,What is the species?,Cannabis,56
sample_nocs/0000000821.PDF,noc_date,What is the date of the document?,7 juin 2007,64
sample_nocs/0000000821.PDF,medicinal_ingredients,What are the medicinal ingredients?,"delta-9-tétrahydrocannabinol, cannabidiol",15.000000953674316
sample_nocs/0000000867.PDF,canadian_reference_product,What is the Canadian Reference Product?,LYRICA,73
sample_nocs/0000000867.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000867.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000000867.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000867.PDF,dossier_id,What is the Dossier Id?,088400,97
sample_nocs/0000000867.PDF,submission_no,What is the Submission Number?,088400,99
sample_nocs/0000000867.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Pfizer Canada Inc.,49
sample_nocs/0000000867.PDF,product_name,What is the Product name?,LYRICA,88
sample_nocs/0000000867.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",988462,6
sample_nocs/0000000867.PDF,species,What is the species?,NA,NA
sample_nocs/0000000867.PDF,noc_date,What is the date of the document?,3 juin 2005,48
sample_nocs/0000000867.PDF,medicinal_ingredients,What are the medicinal ingredients?,"Prégabaline, 25 mg de prégabaline, capsules",9
sample_nocs/0000000969.PDF,canadian_reference_product,What is the Canadian Reference Product?,Merck Frosst Canada Ltd.,36
sample_nocs/0000000969.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000969.PDF,noc_reason,What was the reason for the submission?,drug sponsor,91
sample_nocs/0000000969.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000969.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000969.PDF,submission_no,What is the Submission Number?,108483,94
sample_nocs/0000000969.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Merck Frosst Canada Ltd.,58.999996185302734
sample_nocs/0000000969.PDF,product_name,What is the Product name?,PrEMENDTM,38
sample_nocs/0000000969.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","80 mg and 125 mg, capsules",90
sample_nocs/0000000969.PDF,species,What is the species?,NA,NA
sample_nocs/0000000969.PDF,noc_date,What is the date of the document?,"August 20, 2007",91
sample_nocs/0000000969.PDF,medicinal_ingredients,What are the medicinal ingredients?,"PrEMEND,  Aprepitant, 80 mg and 125 mg, capsules",17
sample_nocs/0000001034.PDF,canadian_reference_product,What is the Canadian Reference Product?,VECTIBIXMc,72
sample_nocs/0000001034.PDF,directorate,What is the directorate that approved the submission?,Health Canada,41
sample_nocs/0000001034.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001034.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000001034.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001034.PDF,submission_no,What is the Submission Number?,NA,NA
sample_nocs/0000001034.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000001034.PDF,product_name,What is the Product name?,VECTIBIXMc,77
sample_nocs/0000001034.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",20 mg/mL,37
sample_nocs/0000001034.PDF,species,What is the species?,panitumumab,90
sample_nocs/0000001034.PDF,noc_date,What is the date of the document?,Juin 2008,26
sample_nocs/0000001034.PDF,medicinal_ingredients,What are the medicinal ingredients?,"fluoropyrimidine, l'oxaliplatine et l'irinotécan",16
sample_nocs/0000001050.PDF,canadian_reference_product,What is the Canadian Reference Product?,Pfizer Canada Inc.,46
sample_nocs/0000001050.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000001050.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001050.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000001050.PDF,dossier_id,What is the Dossier Id?,078188,71
sample_nocs/0000001050.PDF,submission_no,What is the Submission Number?,078188,97
sample_nocs/0000001050.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Pfizer Canada Inc.,61
sample_nocs/0000001050.PDF,product_name,What is the Product name?,Przeldox,58
sample_nocs/0000001050.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",NA,NA
sample_nocs/0000001050.PDF,species,What is the species?,NA,NA
sample_nocs/0000001050.PDF,noc_date,What is the date of the document?,27 août 2007,78
sample_nocs/0000001050.PDF,medicinal_ingredients,What are the medicinal ingredients?,Przeldox* chlorhydrate de ziprasidone monohydraté,25
sample_nocs/0000001260.PDF,canadian_reference_product,What is the Canadian Reference Product?,OLMETEC,39
sample_nocs/0000001260.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000001260.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001260.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000001260.PDF,dossier_id,What is the Dossier Id?,115991,81
sample_nocs/0000001260.PDF,submission_no,What is the Submission Number?,115991,97
sample_nocs/0000001260.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000001260.PDF,product_name,What is the Product name?,Prolmetec,62
sample_nocs/0000001260.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","5, 20  and 40 mg",34
sample_nocs/0000001260.PDF,species,What is the species?,NA,NA
sample_nocs/0000001260.PDF,noc_date,What is the date of the document?,28 octade 2008,2
sample_nocs/0000001260.PDF,medicinal_ingredients,What are the medicinal ingredients?,olmésartan médoxomil,48
sample_nocs/0000001281.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000001281.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,62
sample_nocs/0000001281.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001281.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"Supriya Sharma, MD MPH FRCPC",82
sample_nocs/0000001281.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001281.PDF,submission_no,What is the Submission Number?,110853,97
sample_nocs/0000001281.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Galderma Canada Inc.,82
sample_nocs/0000001281.PDF,product_name,What is the Product name?,METVIX,98
sample_nocs/0000001281.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","02323273, Topical, Cream, 168mg/g",81
sample_nocs/0000001281.PDF,species,What is the species?,NA,NA
sample_nocs/0000001281.PDF,noc_date,What is the date of the document?,FES 26 2009,40
sample_nocs/0000001281.PDF,medicinal_ingredients,What are the medicinal ingredients?,methyl aminolevulinate (supplied as methyl aminolevulinate hydrochloride),66
sample_nocs/0000001316.PDF,canadian_reference_product,What is the Canadian Reference Product?,"Clavamox Tablets, Pfizer Canada Inc., Animal Health Group, Canada",75
sample_nocs/0000001316.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000001316.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001316.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"D. lan Alexander, DVM, PhD",22
sample_nocs/0000001316.PDF,dossier_id,What is the Dossier Id?,"9460-N0766-520, -521, -522, -523",84
sample_nocs/0000001316.PDF,submission_no,What is the Submission Number?,"111532, 111530, 111529, 111533",77
sample_nocs/0000001316.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000001316.PDF,product_name,What is the Product name?,Noroclav,97
sample_nocs/0000001316.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","02323850, Oral, Tablet, Amoxicillin (as amoxicillin trihydrate) 50 mg/tab, Clavulanic acid (as clavulanate potassium) 12.5 mg/tab",62
sample_nocs/0000001316.PDF,species,What is the species?,"Cats (62.5 mg only), dogs (62.5 mg, 125 mg, 250 mg, 375 mg)",52
sample_nocs/0000001316.PDF,noc_date,What is the date of the document?,"March 13, 2009",94
sample_nocs/0000001316.PDF,medicinal_ingredients,What are the medicinal ingredients?,Amoxicillin (as amoxicillin trihydrate) Clavulanic acid (as clavulanate potassium),85
sample_nocs/0000001517.PDF,canadian_reference_product,What is the Canadian Reference Product?,LOCACORTEN VIOFORM EARDROPS,88
sample_nocs/0000001517.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,82
sample_nocs/0000001517.PDF,noc_reason,What was the reason for the submission?,Manufacturer Name Change.,52.999996185302734
sample_nocs/0000001517.PDF,approving_dg,What is the name of the Director General that signed this NOC?,Supriya Sharma MD MPH FRCPC,85
sample_nocs/0000001517.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001517.PDF,submission_no,What is the Submission Number?,130072,99
sample_nocs/0000001517.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Paladin Labs Inc.,75
sample_nocs/0000001517.PDF,product_name,What is the Product name?,LOCACORTEN VIOFORM EARDROPS,94
sample_nocs/0000001517.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",00074454,35
sample_nocs/0000001517.PDF,species,What is the species?,NA,NA
sample_nocs/0000001517.PDF,noc_date,What is the date of the document?,JUN 03 2009,88
sample_nocs/0000001517.PDF,medicinal_ingredients,What are the medicinal ingredients?,Flumethasone Pivalate / Clioquinol,96
sample_nocs/0000001527.PDF,canadian_reference_product,What is the Canadian Reference Product?,Vyvanse c,87
sample_nocs/0000001527.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000001527.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001527.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000001527.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001527.PDF,submission_no,What is the Submission Number?,120534,77
sample_nocs/0000001527.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Shire Canada Inc.,45
sample_nocs/0000001527.PDF,product_name,What is the Product name?,Vyvanse c,74
sample_nocs/0000001527.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",30 mg et 50 mg,69
sample_nocs/0000001527.PDF,species,What is the species?,NA,NA
sample_nocs/0000001527.PDF,noc_date,What is the date of the document?,18 mars 2009,89
sample_nocs/0000001527.PDF,medicinal_ingredients,What are the medicinal ingredients?,"Dimésylate de lisdexamfétamine, promédicament de la dextroamphétamine",5
sample_nocs/0000001624.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000001624.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,77
sample_nocs/0000001624.PDF,noc_reason,What was the reason for the submission?,New Manufacturer and Product Name,91
sample_nocs/0000001624.PDF,approving_dg,What is the name of the Director General that signed this NOC?,Supriya Sharma MD MPH FRCPC,91
sample_nocs/0000001624.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001624.PDF,submission_no,What is the Submission Number?,129658,98
sample_nocs/0000001624.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Mylan Pharmaceuticals ULC,93
sample_nocs/0000001624.PDF,product_name,What is the Product name?,MYLAN-BECLO AQ,96
sample_nocs/0000001624.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",02172712,48
sample_nocs/0000001624.PDF,species,What is the species?,NA,NA
sample_nocs/0000001624.PDF,noc_date,What is the date of the document?,JUN 29 2009,73
sample_nocs/0000001624.PDF,medicinal_ingredients,What are the medicinal ingredients?,Beclomethasone Dipropionate,97
sample_nocs/0000001663.PDF,canadian_reference_product,What is the Canadian Reference Product?,"Didronel, Procter & Gamble Pharmaceuticals Canada Inc.",46
sample_nocs/0000001663.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,82
sample_nocs/0000001663.PDF,noc_reason,What was the reason for the submission?,Manufacturer and Product Name Change,95
sample_nocs/0000001663.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"Supriya Sharma, MD MPH FRCPC",62
sample_nocs/0000001663.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001663.PDF,submission_no,What is the Submission Number?,130811,98
sample_nocs/0000001663.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Mylan Pharmaceuticals ULC,90
sample_nocs/0000001663.PDF,product_name,What is the Product name?,MYLAN-ETIDRONATE,90
sample_nocs/0000001663.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","02245330 (ORL, TAB, 200 mg)",68
sample_nocs/0000001663.PDF,species,What is the species?,NA,NA
sample_nocs/0000001663.PDF,noc_date,What is the date of the document?,JUL 08 2009,48
sample_nocs/0000001663.PDF,medicinal_ingredients,What are the medicinal ingredients?,Etidronate Disodium,98
sample_nocs/0000001689.PDF,canadian_reference_product,What is the Canadian Reference Product?,"Norvasc, Pfizer Canada Inc., Canada",47
sample_nocs/0000001689.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,52.999996185302734
sample_nocs/0000001689.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000001689.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"Supriya Sharma, MD MPH FRCPC",65
sample_nocs/0000001689.PDF,dossier_id,What is the Dossier Id?,0201D,93
sample_nocs/0000001689.PDF,submission_no,What is the Submission Number?,089371,98
sample_nocs/0000001689.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,ratiopharm inc.,63
sample_nocs/0000001689.PDF,product_name,What is the Product name?,RATIO-AMLODIPINE,95
sample_nocs/0000001689.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","02259605 ORL, TAB, 5mg",69
sample_nocs/0000001689.PDF,species,What is the species?,NA,NA
sample_nocs/0000001689.PDF,noc_date,What is the date of the document?,JUL 09 2009,89
sample_nocs/0000001689.PDF,medicinal_ingredients,What are the medicinal ingredients?,Amlodipine( supplied as amlodipine besylate ) Amlodipine ( supplied under la forme de bésylate d'amlodipine,6
sample_nocs/0000001694.PDF,canadian_reference_product,What is the Canadian Reference Product?,KOGENATE® FS,52
sample_nocs/0000001694.PDF,directorate,What is the directorate that approved the submission?,Biologics and Genetic Therapies Directorate,51
sample_nocs/0000001694.PDF,noc_reason,What was the reason for the submission?,Revision to Product Monograph / Révision to la Monographie de produit,48
sample_nocs/0000001694.PDF,approving_dg,What is the name of the Director General that signed this NOC?,Elwyn Griffith,83
sample_nocs/0000001694.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001694.PDF,submission_no,What is the Submission Number?,124448,98
sample_nocs/0000001694.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Bayer Inc.,60.000003814697266
sample_nocs/0000001694.PDF,product_name,What is the Product name?,KOGENATE® FS,75
sample_nocs/0000001694.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","N/A, Intravenous, Lyophilized Powder for Injection, 250 IU/vial",89
sample_nocs/0000001694.PDF,species,What is the species?,NA,NA
sample_nocs/0000001694.PDF,noc_date,What is the date of the document?,JUL 7 2009,21
sample_nocs/0000001694.PDF,medicinal_ingredients,What are the medicinal ingredients?,Antihemophilic Factor (Recombinant)/ Facteur antlhémophilique (Recombinant),20
sample_nocs/0000001957.PDF,canadian_reference_product,What is the Canadian Reference Product?,"Clavulin, SmithKline Beecham Pharma, Division of SmithKline",25
sample_nocs/0000001957.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,77
sample_nocs/0000001957.PDF,noc_reason,What was the reason for the submission?,New Manufacturer and Product Name,90
sample_nocs/0000001957.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"Supriya Sharma, MD MPH FRCPC",55
sample_nocs/0000001957.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000001957.PDF,submission_no,What is the Submission Number?,129774,98
sample_nocs/0000001957.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000001957.PDF,product_name,What is the Product name?,AMOXI-CLAV,86
sample_nocs/0000001957.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","02326507 (ORL, TAB, Amoxicillin 250mg / Clavulanic Acid 125 mg)",23
sample_nocs/0000001957.PDF,species,What is the species?,NA,NA
sample_nocs/0000001957.PDF,noc_date,What is the date of the document?,SEP 22 2009,51
sample_nocs/0000001957.PDF,medicinal_ingredients,What are the medicinal ingredients?,Amoxicillin supplied as Amoxicillin Trihydrate / Clavulanic Acid supplied as Potassium Clavulanate,93
sample_nocs/0000002012.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000002012.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,78
sample_nocs/0000002012.PDF,noc_reason,What was the reason for the submission?,Manufacturer Name Change,96
sample_nocs/0000002012.PDF,approving_dg,What is the name of the Director General that signed this NOC?,Supriya Sharma MD MPH FRCPC,85
sample_nocs/0000002012.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000002012.PDF,submission_no,What is the Submission Number?,132613,98
sample_nocs/0000002012.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,MM Therapeutics Inc.,94
sample_nocs/0000002012.PDF,product_name,What is the Product name?,AVENTYL,94
sample_nocs/0000002012.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","00015229 (ORL,CAP, 10 mg)",66
sample_nocs/0000002012.PDF,species,What is the species?,NA,NA
sample_nocs/0000002012.PDF,noc_date,What is the date of the document?,OCT 5 2009,94
sample_nocs/0000002012.PDF,medicinal_ingredients,What are the medicinal ingredients?,Nortriptyline supplied as Nortriptyline Hydrochloride,97
sample_nocs/0000002087.PDF,canadian_reference_product,What is the Canadian Reference Product?,"Ciprobay, Bayer AG, Germany",77
sample_nocs/0000002087.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,83
sample_nocs/0000002087.PDF,noc_reason,What was the reason for the submission?,Additional Product Name,99
sample_nocs/0000002087.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"Supriya Sharma, MD MPH FRCPC",65
sample_nocs/0000002087.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000002087.PDF,submission_no,What is the Submission Number?,133073,98
sample_nocs/0000002087.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,Sandoz Canada Inc.,82
sample_nocs/0000002087.PDF,product_name,What is the Product name?,CIPROFLOXACIN,71
sample_nocs/0000002087.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?","02335352 (ORL, TAB, 250 mg)",72
sample_nocs/0000002087.PDF,species,What is the species?,NA,NA
sample_nocs/0000002087.PDF,noc_date,What is the date of the document?,OCT 21 2009,82
sample_nocs/0000002087.PDF,medicinal_ingredients,What are the medicinal ingredients?,Ciprofloxacin supplied as Ciprofloxacin Hydrochloride,89
sample_nocs/0000002092.PDF,canadian_reference_product,What is the Canadian Reference Product?,"Norvasc, Pfizer Canada Inc.",41
sample_nocs/0000002092.PDF,directorate,What is the directorate that approved the submission?,Therapeutic Products Directorate,89
sample_nocs/0000002092.PDF,noc_reason,What was the reason for the submission?,New Manufacturer and Product Name,91
sample_nocs/0000002092.PDF,approving_dg,What is the name of the Director General that signed this NOC?,"Supriya Sharma, MD MPH FRCPC",72
sample_nocs/0000002092.PDF,dossier_id,What is the Dossier Id?,NA,NA
